customer_id,name,phone
3,Customer 3,+91 7045270755
4,Customer 4,+91 7711741970
5,Customer 5,+91 7950112373
6,Customer 6,+91 7384357011
7,Customer 7,+91 7765196857
8,Customer 8,+91 7716454209
9,Customer 9,+91 7439967392
10,Customer 10,+91 7427384313
11,Customer 11,+91 7396278048
12,Customer 12,+91 7326539628
13,Customer 13,+91 7194355755
14,Customer 14,+91 7694027784
15,Customer 15,+91 7300910431
16,Customer 16,+91 7222722803
17,Customer 17,+91 7029557859
18,Customer 18,+91 7140665419
19,Customer 19,+91 7221746939
20,Customer 20,+91 7870177741
21,Customer 21,+91 7530497958
22,Customer 22,+91 7263557403
23,Customer 23,+91 7103715895
24,Customer 24,+91 7047893272
25,Customer 25,+91 7570304088
26,Customer 26,+91 7010147414
27,Customer 27,+91 7358595444
28,Customer 28,+91 7849323059
29,Customer 29,+91 7108268536
30,Customer 30,+91 7126143014
31,Customer 31,+91 7301539513
32,Customer 32,+91 7694932958
33,Customer 33,+91 7030588209
34,Customer 34,+91 7840855423
35,Customer 35,+91 7090825192
36,Customer 36,+91 7187131020
37,Customer 37,+91 7196550366
38,Customer 38,+91 7704798580
39,Customer 39,+91 7141268698
40,Customer 40,+91 7247515190
41,Customer 41,+91 7853312693
42,Customer 42,+91 7350476524
43,Customer 43,+91 7330919575
44,Customer 44,+91 7080424173
45,Customer 45,+91 7071833270
46,Customer 46,+91 7142293186
47,Customer 47,+91 7606570958
48,Customer 48,+91 7793598560
49,Customer 49,+91 7797024791
50,Customer 50,+91 7310919228
51,Customer 51,+91 7924002720
52,Customer 52,+91 7334253630
53,Customer 53,+91 7632126626
54,Customer 54,+91 7961930606
55,Customer 55,+91 7040054137
56,Customer 56,+91 7808178795
57,Customer 57,+91 7172152656
58,Customer 58,+91 7809110390
59,Customer 59,+91 7184591961
60,Customer 60,+91 7451219072
61,Customer 61,+91 7168944063
62,Customer 62,+91 7223217826
63,Customer 63,+91 7339903107
64,Customer 64,+91 7002260267
65,Customer 65,+91 7417476346
66,Customer 66,+91 7044109760
67,Customer 67,+91 7321378567
68,Customer 68,+91 7254795749
69,Customer 69,+91 7075763846
70,Customer 70,+91 7302208673
71,Customer 71,+91 7095686212
72,Customer 72,+91 7927031501
73,Customer 73,+91 7789229044
74,Customer 74,+91 7549029211
75,Customer 75,+91 7749033560
76,Customer 76,+91 7745412485
77,Customer 77,+91 7123617084
78,Customer 78,+91 7442380883
79,Customer 79,+91 7370288046
80,Customer 80,+91 7448072126
81,Customer 81,+91 7854229618
82,Customer 82,+91 7625308902
83,Customer 83,+91 7333573687
84,Customer 84,+91 7091839864
85,Customer 85,+91 7295717520
86,Customer 86,+91 7755600186
87,Customer 87,+91 7105644730
88,Customer 88,+91 7716574874
89,Customer 89,+91 7768339412
90,Customer 90,+91 7415628782
91,Customer 91,+91 7519843585
92,Customer 92,+91 7837329985
93,Customer 93,+91 7960689303
94,Customer 94,+91 7333212779
95,Customer 95,+91 7416980016
96,Customer 96,+91 7005468717
97,Customer 97,+91 7256873674
98,Customer 98,+91 7147012336
99,Customer 99,+91 7007335944
100,Customer 100,+91 7737105784
101,Customer 101,+91 7032830660
102,Customer 102,+91 7544156977
103,Customer 103,+91 7618447891
104,Customer 104,+91 7161189481
105,Customer 105,+91 7037441562
106,Customer 106,+91 7735066163
107,Customer 107,+91 7977943108
108,Customer 108,+91 7942742120
109,Customer 109,+91 7260871047
110,Customer 110,+91 7889714872
111,Customer 111,+91 7039756935
112,Customer 112,+91 7068726472
113,Customer 113,+91 7593057753
